Time,Time Code,Country Name,Country Code,GDP per capita (current US$) [NY.GDP.PCAP.CD],Population density (people per sq. km of land area) [EN.POP.DNST],"Population, total [SP.POP.TOTL]","Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]",Access to electricity (% of population) [EG.ELC.ACCS.ZS]
2006,YR2006,Afghanistan,AFG,263.733601866274,40.5272035938243,26433058,..,30.7186908721924
2006,YR2006,Albania,ALB,2972.74292399799,109.21704379562,2992547,..,100
2006,YR2006,Algeria,DZA,3478.71000237566,14.1245505386818,33641007,72.648681640625,98.869010925293
2006,YR2006,American Samoa,ASM,8340.52343974691,295.545,59109,..,..
2006,YR2006,Andorra,AND,42674.7589681092,172.329787234043,80995,..,100
2006,YR2006,Angola,AGO,2599.56594793067,16.1625932461699,20149905,..,30.5868949890137
2006,YR2006,Antigua and Barbuda,ATG,13995.8044243845,187.988636363636,82715,..,100
2006,YR2006,Argentina,ARG,5919.01233837714,14.3567141327662,39289876,98.6108016967773,97.076057434082
2006,YR2006,Armenia,ARM,2158.1480742298,103.909413417633,2958301,..,99.188232421875
2006,YR2006,Aruba,ABW,24495.0153945714,560.166666666667,100830,..,100
2006,YR2006,Australia,AUS,36117.487983674,2.69423219608711,20697900,..,100
2006,YR2006,Austria,AUT,40669.3269586152,100.201660203587,8268641,..,100
2006,YR2006,Azerbaijan,AZE,2473.08181863536,102.672531674674,8484550,..,99.5
2006,YR2006,"Bahamas, The",BHS,30713.7980618188,33.0701298701299,331032,..,100
2006,YR2006,Bahrain,BHR,19307.5089373876,1295.16621621622,958423,..,100
2006,YR2006,Bangladesh,BGD,509.640189887604,1082.59317815165,140921154,..,50.5251007080078
2006,YR2006,Barbados,BRB,15199.3902245225,645.290697674419,277475,..,100
2006,YR2006,Belarus,BLR,3847.43412382153,47.3372826558372,9604924,..,100
2006,YR2006,Belgium,BEL,38705.1067959147,348.347357992074,10547958,..,100
2006,YR2006,Belize,BLZ,4157.19303528438,12.7723805348531,291338,..,90.9885330200195
2006,YR2006,Benin,BEN,856.054916559873,72.8706367506208,8216893,28.7021102905273,27.8999996185303
2006,YR2006,Bermuda,BMU,95221.8588720301,1194.87037037037,64523,..,100
2006,YR2006,Bhutan,BTN,1330.97744400874,17.2470026497363,657404,..,59.6850547790527
2006,YR2006,Bolivia,BOL,1218.87407426264,8.67298901504662,9395449,..,76.2112808227539
2006,YR2006,Bosnia and Herzegovina,BIH,3416.51237636652,73.5433984375,3765422,..,99.3872756958008
2006,YR2006,Botswana,BWA,5521.99060810445,3.23948088154853,1835911,..,39.7313194274902
2006,YR2006,Brazil,BRA,5886.39152194816,22.5130654667187,188167353,89.6152267456055,97.5943145751953
2006,YR2006,British Virgin Islands,VGB,..,160.146666666667,24022,..,98.0067291259766
2006,YR2006,Brunei Darussalam,BRN,30979.9628427354,70.2584440227704,370262,..,100
2006,YR2006,Bulgaria,BGR,4523.0508329806,69.9716652858326,7601022,..,100
2006,YR2006,Burkina Faso,BFA,473.449868166334,50.5452229532164,13829173,22.4725799560547,11.6862897872925
2006,YR2006,Burundi,BDI,167.376462504995,296.255841121495,7607850,..,2.66000008583069
2006,YR2006,Cabo Verde,CPV,2361.38010115423,116.419602977667,469171,..,68.7907562255859
2006,YR2006,Cambodia,KHM,539.750328907744,76.352283027419,13477705,..,32.4075813293457
2006,YR2006,Cameroon,CMR,1147.4365999036,38.5514945738402,18223677,..,49
2006,YR2006,Canada,CAN,40504.0607253203,3.63290915600646,32571174,..,100
2006,YR2006,Cayman Islands,CYM,82801.5434668214,211.370833333333,50729,..,100
2006,YR2006,Central African Republic,CAF,354.986192001824,6.61028443930784,4118075,..,7.80516910552979
2006,YR2006,Chad,TCD,710.396398684645,8.30457592121982,10457122,..,5.19655656814575
2006,YR2006,Channel Islands,CHI,63244.925375939,..,152999,..,100
2006,YR2006,Chile,CHL,9406.58448549129,21.9957002523092,16354507,..,99.3681106567383
2006,YR2006,China,CHN,2099.22943460734,139.104692987575,1311020000,..,98.461051940918
2006,YR2006,Colombia,COL,3741.09283661273,38.9372699414151,43200901,92.2996826171875,95.7930297851563
2006,YR2006,Comoros,COM,1114.94528131922,336.60773777539,626427,..,53.4684944152832
2006,YR2006,Democratic Republic of the Congo,COD,255.433043197206,24.9566820317152,56578046,..,10.2929649353027
2006,YR2006,Republic of the Congo,COG,2155.40635716309,10.9667437774524,3745143,..,34.86474609375
2006,YR2006,Costa Rica,CRI,5227.46595193036,85.1042107324716,4345421,..,99.1475219726563
2006,YR2006,Cote d'Ivoire,CIV,1347.98882431501,58.9777169811321,18754914,..,60.1710510253906
2006,YR2006,Croatia,HRV,11797.4744733882,77.0345043242084,4311159,..,100
2006,YR2006,Cuba,CUB,4336.63802470136,105.808897867143,11261241,..,96.9274749755859
2006,YR2006,Curacao,CUW,..,..,141239,..,100
2006,YR2006,Cyprus,CYP,26729.32421875,113.150216450216,1045508,..,100
2006,YR2006,Czechia,CZE,15261.7975911138,132.542459546926,10238905,..,100
2006,YR2006,Denmark,DNK,52026.9995142723,135.9318,5437272,..,100
2006,YR2006,Djibouti,DJI,967.679583807819,34.2775668679896,794554,..,55.5
2006,YR2006,Dominica,DMA,5518.42319991872,94.2906666666667,70718,..,88.8495101928711
2006,YR2006,Dominican Republic,DOM,4109.03359145391,190.823452701304,9218681,..,90.1181488037109
2006,YR2006,Ecuador,ECU,3328.88415626323,56.6088701884361,14059379,..,96.3152618408203
2006,YR2006,Egypt,EGY,1397.43669004643,77.2250439499724,76873670,66.3699111938477,99.0400009155273
